,Topic,Count,Name,Representation,Representative_Docs
11,10,16573,10_covid_virus_flu_cdc,"['covid', 'virus', 'flu', 'cdc', 'deaths', 'pandemic', 'coronavirus', 'wuhan', 'doctors', 'medical']","[""how can you say that after we just went through all this covid pandemic crap the virus was made up from corona viruses that happens in the lab the ccp are liars and don't care about human lives the democrats are the same way put it together wasn't that covid virus convenient"", 'its a virus another china virus', ""covid is a mind virus that's the really dangerous virus here""]"
12,11,16218,11_communist_communists_communism_socialism,"['communist', 'communists', 'communism', 'socialism', 'commie', 'marxist', 'commies', 'socialist', 'marxists', 'socialists']","['just like the communist', 'bill de communist', ""no one's a communist""]"
13,12,15774,12_prison_jail_money_gold,"['prison', 'jail', 'money', 'gold', 'bail', 'arrested', 'million', 'pay', 'crypto', 'arrest']","['other people go to jail for that', 'jail time', 'not if he is in prison']"
14,13,15391,13_twitter_facebook_google_social,"['twitter', 'facebook', 'google', 'social', 'fb', 'banned', 'youtube', 'censorship', 'account', 'media']","['what kind of people use twitter and facebook in the first place', 'f twitter', 'i have no twitter or social media other than facebook how do i find q thank you']"
15,14,15311,14_ukraine_putin_russia_russian,"['ukraine', 'putin', 'russia', 'russian', 'russians', 'ukrainian', 'zelensky', 'war', 'ukrainians', 'putins']","['russia russia russia', ""yeah a act of war between ukraine and russia we're not allies with ukraine they're not in nato so we stay out of it"", ""but someone at least told her that russia is bigger than ukraine so she's got that down now""]"
16,15,11227,15_school_schools_teachers_education,"['school', 'schools', 'teachers', 'education', 'college', 'students', 'kids', 'teacher', 'parents', 'indoctrination']","['who teaches children if not teachers some children are lucky enough to have parents who can teach them how to read write and do math but not all are you talking about all teachers throughout my education i had great teachers good teachers and mediocre teachers', 'do what we do in my house tell them that teachers are idiots and that you just have to put up with them until you are out of school', 'that would be the school system']"
17,16,9974,16_border_mexico_illegals_illegal,"['border', 'mexico', 'illegals', 'illegal', 'deport', 'cartels', 'mexican', 'borders', 'immigration', 'citizenship']","['still want that open border', 'the border', ""the cartels now run arizona 'government' and the border just like in old mexico""]"
18,17,9709,17_vaccine_vaccines_vaccinated_covid,"['vaccine', 'vaccines', 'vaccinated', 'covid', 'shots', 'unvaccinated', 'vaccination', 'shot', 'flu', 'deaths']","['give them their vaccine and get them out of the country', 'it s not a vaccine', 'not a vaccine']"
19,18,9558,18_police_cops_cop_military,"['police', 'cops', 'cop', 'military', 'officer', 'officers', 'marines', 'marine', 'veterans', 'cowards']","['police state', 'f the police', 'where is the police']"
20,19,9365,19_china_chinese_ccp_chinas,"['china', 'chinese', 'ccp', 'chinas', 'communist', 'beijing', 'biden', 'joe', 'xi', 'trade']","['better then made in communist china', 'what did he do with that m he got from china', 'every one of them except china']"
21,20,8783,20_joe_joes_creepy_sleepy,"['joe', 'joes', 'creepy', 'sleepy', 'uncle', 'joementia', 'slow', 'old', 'demented', 'hes']","[""joe's world"", ""joe who's your president"", 'you re not the president joe']"
22,21,8730,21_antifa_flag_blm_flags,"['antifa', 'flag', 'blm', 'flags', 'false', 'lincoln', 'confederate', 'terrorist', 'violence', 'shirts']","['and antifa', 'only one and as for antifa', 'and antifa']"
23,22,7911,22_nfl_nba_players_football,"['nfl', 'nba', 'players', 'football', 'anthem', 'sports', 'fans', 'game', 'lebron', 'league']","['another year of no nfl football i guess i will only watch college again so much better anyway', 'americans will do just fine without the support of the nfl question is how well will the nfl do without the support of americans', 'nfl blm']"
24,23,7586,23_gun_guns_ammo_carry,"['gun', 'guns', 'ammo', 'carry', 'firearms', 'control', 'weapons', 'concealed', 'firearm', 'shootings']","[""criminals don't obey gun control laws whether registered guns or not banning guns from law abiding people will not deter criminals from obtaining guns illegally and committing gun violence gun control is not a political issue but one of common sense self defense and a right guaranteed by the nd amendment"", 'it is time for all of us to get out our guns', 'and how many guns we had']"
25,24,7446,24_pelosi_nancy_pelosis_schumer,"['pelosi', 'nancy', 'pelosis', 'schumer', 'impeachment', 'house', 'speaker', 'cheney', 'paul', 'waters']","['could she please be the next nancy pelosi', 'never go full pelosi', 'pelosi was all in on it']"
26,25,7297,25_judges_judge_court_supreme,"['judges', 'judge', 'court', 'supreme', 'courts', 'appointed', 'justices', 'judicial', 'appeal', 'justice']","['what is the name of the judge', 'where is the judge in all this', 'it is time to judge the judges and hold them accountable end the corruption of our judges now']"
27,26,7241,26_climate_warming_global_change,"['climate', 'warming', 'global', 'change', 'gore', 'weather', 'snowflakes', 'solar', 'ice', 'carbon']","['and climate change', 'great now we have wind stupid climate change global warming will ever end', 'biden and the dems will do nothing but blame this on their religion of global warming climate change']"
28,27,7109,27_soros_george_funded_paid,"['soros', 'george', 'funded', 'paid', 'money', 'funding', 'soross', 'nazi', 'groups', 'puppet']","['soros will have to back out of the way first', 'soros co', 'there is only one soros']"
29,28,6729,28_liberals_leftists_left_leftist,"['liberals', 'leftists', 'left', 'leftist', 'liberal', 'liberalism', 'logic', 'mental', 'lefties', 'right']","['stupid is as leftists do', 'liberals own this', 'liberals love it']"
30,29,6660,29_california_ca_blue_red,"['california', 'ca', 'blue', 'red', 'state', 'states', 'governor', 'virginia', 'californians', 'county']","['even more true in california', 'no more no less than say california', 'need to do it in california']"
31,30,6235,30_israel_jews_jewish_palestinians,"['israel', 'jews', 'jewish', 'palestinians', 'jew', 'israeli', 'israelis', 'palestine', 'palestinian', 'netanyahu']","['i will pray for israel long live israel', 'get some israel', 'but but israel']"
32,31,5932,31_eu_europe_germany_uk,"['eu', 'europe', 'germany', 'uk', 'german', 'germans', 'italy', 'refugees', 'britain', 'brexit']","['germany is what it has always been and that is a nation bent on dominance and absorbing europe into german control the euro has made the germans rich while damaging the rest of europe the other eu nations including the one i live in cow tows to germany britain must leave now or forever be enslaved to this monstrous union', 'definitely too late for the eu still some hope for europe', 'no it is germany eu']"
33,32,5845,32_tgp_musk_gateway_elon,"['tgp', 'musk', 'gateway', 'elon', 'pundit', 'zuckerberg', 'dorsey', 'twitter', 'jack', 'site']","['elon musk more power to him he found the secret', 'called it tgp', 'the gateway pundit is over the target well done tgp']"
34,33,5789,33_trudeau_fascist_canada_fascism,"['trudeau', 'fascist', 'canada', 'fascism', 'fascists', 'canadian', 'canadians', 'nwo', 'reset', 'truckers']","['yes fascist canada getting worse every day or so it seems', ""ask trudeau canada's laws are different than ours"", 'when fascism comes to america it will look like justin trudeau s canada']"
35,34,5766,34_mueller_muellers_investigation_rosenstein,"['mueller', 'muellers', 'investigation', 'rosenstein', 'comey', 'hunt', 'witch', 'collusion', 'team', 'report']","['mueller should be shot', 'how much of our money did we pay mueller', 'mueller wants president trump']"
36,35,5275,35_disney_hollywood_fjb_movie,"['disney', 'hollywood', 'fjb', 'movie', 'movies', 'kanye', 'actor', 'actors', 'sports', 'walt']","['good i hope they go down like disney', 'and disney', ""f' disney""]"
37,36,5252,36_swamp_roberts_drain_draining,"['swamp', 'roberts', 'drain', 'draining', 'pdjt', 'creatures', 'thomas', 'justice', 'scalia', 'drained']","['deep swamp', 'swamp people', 'themselves the swamp']"
38,37,4999,37_ryan_brennan_paul_ryans,"['ryan', 'brennan', 'paul', 'ryans', 'speaker', 'nehlen', 'lyin', 'rino', 'traitor', 'brennans']","['along with paul ryan', 'because of ryan', 'paul ryan']"
39,38,4859,38_abortion_parenthood_abortions_planned,"['abortion', 'parenthood', 'abortions', 'planned', 'baby', 'babies', 'unborn', 'pro', 'birth', 'aborted']","['yes and so is abortion', ""he's against abortion and will be for the next years as president"", 'and this is all about abortion abortion abortion']"
40,39,4667,39_protest_protesters_peaceful_protests,"['protest', 'protesters', 'peaceful', 'protests', 'riots', 'rioters', 'police', 'riot', 'protesting', 'protestors']","[""'peaceful' protesters at it again"", 'time for a mostly peaceful protest', 'the so called peaceful protesters support the riots']"
41,40,4627,40_mask_masks_wear_wearing,"['mask', 'masks', 'wear', 'wearing', 'virus', 'mandate', 'face', 'mandates', 'covid', 'masked']","[""it's the co from wearing the mask"", 'mask this', ""masks masks masks can we see the science on mask wearing oh yeah there isn't any""]"
42,41,4610,41_cruz_ted_cruzs_delegates,"['cruz', 'ted', 'cruzs', 'delegates', 'rubio', 'trump', 'supporters', 'establishment', 'carson', 'campaign']","['president cruz will', 'trump cruz', 'trump and cruz']"
43,42,4386,42_sessions_jeff_ag_recuse,"['sessions', 'jeff', 'ag', 'recuse', 'recused', 'recusal', 'trump', 'session', 'deep', 'job']","['fire sessions now', 'fire sessions now', 'f u sessions']"
44,43,4327,43_impeachment_impeach_impeached_trial,"['impeachment', 'impeach', 'impeached', 'trial', 'senate', 'house', 'hearings', 'impeachable', 'president', 'evidence']","['that and the fact that there will be no impeachment of trump', 'and right after the impeachment vote', ""call for obama's impeachment""]"
45,44,4041,44_msm_news_propaganda_report,"['msm', 'news', 'propaganda', 'report', 'lies', 'fake', 'narrative', 'media', 'truth', 'trump']","['true also the msm', 'the msm will never show this', 'as well as the msm']"
46,45,3828,45_schiff_adam_schiffs_schiffty,"['schiff', 'adam', 'schiffs', 'schiffty', 'shifty', 'brains', 'scaramucci', 'committee', 'nadler', 'evidence']","['to schiff as in adam schiff', 'well he is to schiff', 'no schiff']"
47,46,3825,46_rinos_rino_republican_party,"['rinos', 'rino', 'republican', 'party', 'democrats', 'gop', 'republicans', 'dems', 'vote', 'conservative']","['communist democrats rinos did this', 'rinos are democrats', 'democrats and rinos']"
48,47,3810,47_hunter_hunters_biden_crack,"['hunter', 'hunters', 'biden', 'crack', 'joe', 'laptop', 'tapper', 'jake', 'bidens', 'pipe']","[""there's hunter"", 'and he can take hunter with him', ""where's hunter""]"
49,48,3790,48_az_arizona_georgia_maricopa,"['az', 'arizona', 'georgia', 'maricopa', 'audit', 'county', 'ballots', 'recount', 'election', 'ga']","['really have the az audit results made a difference', 'when they called arizona for biden', 'there was no more election fraud in az this past election than there was any in in other words there was massive election fraud in az']"
50,49,3430,49_kkk_slaves_slavery_plantation,"['kkk', 'slaves', 'slavery', 'plantation', 'slave', 'reparations', 'klan', 'byrd', 'party', 'crow']","['well he is a democrat they love their kkk', 'the sad thing is that so many blacks still vote for democrat without realizing they are still slaves to the democrat party the same party that started the kkk the very same party that fought tooth and nail to keep slavery the same party that voted against the equal rights amendment and yet today it is still the party that tries to keep people slaves to stay in power one can only hope that some day more blacks wake up and see the democrat party for what it is and has always been the party that supports slavery', 'see kkk has always been democrats']"
51,50,3389,50_barr_ag_barrs_wray,"['barr', 'ag', 'barrs', 'wray', 'deep', 'durham', 'sessions', 'william', 'coup', 'attorney']","['barr has it now', 'where is bill barr', 'barr is']"
52,51,3380,51_hitler_nazi_nazis_nuremberg,"['hitler', 'nazi', 'nazis', 'nuremberg', 'goebbels', 'hitlery', 'germany', 'german', 'reich', 'hitlers']","[""we do call them nazi's they are one and the same"", 'i am a nazi', 'hitler never did any of this to his own people']"
53,52,3314,52_flynn_mccabe_general_flynns,"['flynn', 'mccabe', 'general', 'flynns', 'gen', 'powell', 'sidney', 'sullivan', 'judge', 'plea']","['great move general flynn', 'and he will pay it and more to flynn', 'good for flynn']"
54,53,3252,53_korea_north_kim_hong,"['korea', 'north', 'kim', 'hong', 'nk', 'kong', 'taiwan', 'china', 'korean', 'jong']","[""obama was and this is him to the absolute worst north korea's kim is better for america than obama"", 'taiwan and hong kong were part of china is that also not our business if china wants them back', 'north korea is all talk']"
55,54,3086,54_merkel_french_france_le,"['merkel', 'french', 'france', 'le', 'macron', 'pen', 'germany', 'merkels', 'german', 'angela']","['like merkel', 'this is all on you merkel', 'merkel has one on']"
56,55,2877,55_wall_build_fence_border,"['wall', 'build', 'fence', 'border', 'walls', 'built', 'mexico', 'fences', 'building', 'illegals']","['trump trump trump build the wall build the wall build the wall', 'the people do want the wall', 'they were all for a wall before trump became president']"
57,56,2773,56_barry_barrys_soetoro_bathhouse,"['barry', 'barrys', 'soetoro', 'bathhouse', 'bath', 'mike', 'house', 'hussein', 'ofraud', 'soetoros']","['and barry too', 'barry is that you', ""o'barry too""]"
58,57,2695,57_ccp_bolsheviks_bolshevik_stalin,"['ccp', 'bolsheviks', 'bolshevik', 'stalin', 'gulag', 'soviet', 'gulags', 'stalins', 'lenin', 'revolution']","['or ccp at least', 'by the ccp', 'they are the ccp']"
59,58,2579,58_romney_utah_mitt_mormon,"['romney', 'utah', 'mitt', 'mormon', 'mormons', 'romneys', 'mittens', 'lds', 'church', 'trump']","['well at least she was right about romney', 'never romney', 'romney as well']"
60,59,2525,59_mccain_john_mccains_romney,"['mccain', 'john', 'mccains', 'romney', 'songbird', 'graham', 'traitor', 'hero', 'arizona', 'cindy']","['is mccain in there', 'and mccain', 'of mccain']"
61,60,2505,60_troll_trolls_trolling_concern,"['troll', 'trolls', 'trolling', 'concern', 'paid', 'comments', 'account', 'bot', 'post', 'posts']","['can you go troll elsewhere', 'troll much', 'trolls gonna troll']"
62,61,2479,61_dc_democracy_republic_washington,"['dc', 'democracy', 'republic', 'washington', 'constitutional', 'states', 'democrats', 'constitution', 'illegals', 'government']","['it should be done to dc too', 'dc is full of them', 'one of many in dc']"
63,62,2462,62_nyc_york_chicago_ny,"['nyc', 'york', 'chicago', 'ny', 'new', 'detroit', 'city', 'yorkers', 'deblasio', 'mayor']","['new new york', 'nyc only of the time', 'i have never nor will ever go to nyc never']"
64,63,2459,63_fauci_faucis_dr_birx,"['fauci', 'faucis', 'dr', 'birx', 'mengele', 'anthony', 'fauchi', 'humanity', 'fao', 'murderer']","[""where's fauci"", 'fauci must go', 'fauci again']"
65,64,2429,64_christmas_merry_santa_virtue,"['christmas', 'merry', 'santa', 'virtue', 'signaling', 'lemmings', 'inbreeding', 'pregnant', 'camel', 'claus']","['and a very merry christmas to you too', 'well it is a merry christmas after all', 'merry christmas everyone']"
66,65,2372,65_texas_oregon_austin_secession,"['texas', 'oregon', 'austin', 'secession', 'texans', 'texan', 'dallas', 'idaho', 'tx', 'state']","['about time go texas', ""it's in texas"", 'they re in texas are they not']"
67,66,2316,66_comey_comeys_james_fbi,"['comey', 'comeys', 'james', 'fbi', 'papadopoulos', 'fired', 'investigation', 'hillary', 'memos', 'clinton']","['comey for prison', 'they said the same about comey', 'keep talking comey']"
68,67,2313,67_globalist_globalists_globalism_world,"['globalist', 'globalists', 'globalism', 'world', 'migrants', 'order', 'global', 'new', 'spanish', 'agenda']","['thank you globalist', 'can you show us if you have anything on us please globalist congress', 'they are globalists first']"
69,68,2298,68_venezuela_cuba_castro_cuban,"['venezuela', 'cuba', 'castro', 'cuban', 'cubans', 'chavez', 'maduro', 'venezuelans', 'venezuelan', 'fidel']","[""that's because you live in venezuela"", 'go back to venezuela', 'this country is no better than venezuela']"
70,69,2228,69_pope_vatican_francis_catholic,"['pope', 'vatican', 'francis', 'catholic', 'church', 'popes', 'jesuit', 'catholics', 'jesuits', 'benedict']","['this guy should have been pope', 'now as long as he has been pope at least', 'i want him for pope']"
71,70,2221,70_graham_lindsey_lindsay_grahams,"['graham', 'lindsey', 'lindsay', 'grahams', 'miss', 'grahamnesty', 'rino', 'mccain', 'sc', 'senate']","['wait maybe lindsey graham will get to the bottom of this', ""thats what lindsey graham wants who's side are you on"", 'lindsey graham will get to the bottom of this lol']"
72,71,2210,71_pence_mike_vp_pences,"['pence', 'mike', 'vp', 'pences', 'trump', 'traitor', 'vice', 'president', 'judas', 'electors']","['no pence please', 'go f yourself pence', 'as well as pence']"
73,72,2179,72_taliban_afghanistan_afghan_afghans,"['taliban', 'afghanistan', 'afghan', 'afghans', 'kabul', 'biden', 'weapons', 'iraq', 'military', 'withdrawal']","['there are no people of color in afghanistan the taliban are the real white supremacists', 'who of course learned it from the taliban in afghanistan', 'american taliban']"
74,73,2172,73_epstein_epsteins_island_jeffrey,"['epstein', 'epsteins', 'island', 'jeffrey', 'maxwell', 'suicide', 'lolita', 'epsteined', 'clinton', 'jeffery']","[""like epstein's"", 'trump epstein', 'trump epstein']"
75,74,2152,74_mayor_unions_union_amnesty,"['mayor', 'unions', 'union', 'amnesty', 'pete', 'city', 'cities', 'dues', 'workers', 'chicago']","['can this mayor really do this', 'the unions may but it does not mean all union employees are', 'why is he the mayor']"
76,75,2136,75_polls_poll_polling_pollsters,"['polls', 'poll', 'polling', 'pollsters', 'numbers', 'election', 'fraud', 'fake', 'polled', 'skewed']","['all of the polls', 'but but but the polls', 'but but the polls']"
77,76,2101,76_mccarthy_speaker_kevin_mccarthys,"['mccarthy', 'speaker', 'kevin', 'mccarthys', 'mcconnell', 'rino', 'luntz', 'house', 'ryan', 'mtg']","['mccarthy needs to go', 'where is mccarthy news at', 'mccarthy was right']"
78,77,2087,77_justice_coup_tiered_served,"['justice', 'coup', 'tiered', 'served', 'attempted', 'courts', 'tier', 'military', 'detat', 'attempt']","['and justice for all', 'this is not justice', 'no justice']"
79,78,2070,78_cuomo_nursing_cuomos_andrew,"['cuomo', 'nursing', 'cuomos', 'andrew', 'homes', 'ny', 'fredo', 'chris', 'york', 'deblasio']","['all democrats have a little cuomo in them', 'i think cuomo was about to cry', ""cuomo is only on cuomo's side""]"
80,79,2046,79_dominion_machines_voting_software,"['dominion', 'machines', 'voting', 'software', 'smartmatic', 'systems', 'votes', 'machine', 'election', 'ballots']","['dominion said no', 'they are not call dominion for nothing', 'that and dominion']"
81,80,1945,80_traitors_traitor_treason_traitorous,"['traitors', 'traitor', 'treason', 'traitorous', 'hang', 'eo', 'speaker', 'guilty', 'treasonous', 'hanging']","['who would do this except traitors', 'traitors every last one of them', 'traitors traitors everywhere']"
82,81,1943,81_tucker_carlson_dobbs_lou,"['tucker', 'carlson', 'dobbs', 'lou', 'fox', 'tuckers', 'watch', 'hume', 'tonight', 'night']","['way to go tucker', 'tucker is still going after them', ""he's almost on tucker""]"
83,82,1934,82_gp_headline_list_avatar,"['gp', 'headline', 'list', 'avatar', 'rumors', 'discus', 'site', 'headlines', 'pic', 'picture']","['i am as well and i really love the gp', 'take this down gp', 'why gp']"
84,83,1930,83_doj_corrupt_prosecute_investigate,"['doj', 'corrupt', 'prosecute', 'investigate', 'justice', 'investigation', 'jury', 'ag', 'charges', 'special']","['but who will do anything our doj', 'and the doj', 'the doj was in on all of it']"
85,84,1929,84_portland_daca_seattle_city,"['portland', 'daca', 'seattle', 'city', 'mayor', 'amnesty', 'police', 'oregon', 'antifa', 'illegal']","[""it's portland they are backwards in portland"", 'i hate portland', 'because portland']"
86,85,1912,85_jab_jabs_jabbed_death,"['jab', 'jabs', 'jabbed', 'death', 'poison', 'booster', 'deaths', 'took', 'taking', 'effects']","['the trump jab', 'only to be made if you take the jab', 'no jab']"
87,86,1869,86_blocked_block_troll_blocking,"['blocked', 'block', 'troll', 'blocking', 'bye', 'trolls', 'flagged', 'user', 'idiot', 'jomo']","[""there's two blocked"", 'i blocked it s a', 'blocked now']"
88,87,1833,87_inflation_libtards_libtard_libturds,"['inflation', 'libtards', 'libtard', 'libturds', 'currency', 'libturd', 'spending', 'money', 'rates', 'prices']","['why is inflation so high', ""more inflation on it's way"", 'years of trump inflation under year of biden inflation over']"
89,88,1830,88_audit_audits_forensic_auditors,"['audit', 'audits', 'forensic', 'auditors', 'results', 'audited', 'election', 'fraud', 'auditing', 'walker']","['keep her away from the audit', 'need to audit', 'audit time']"
90,89,1809,89_hcq_ivermectin_hydroxychloroquine_zinc,"['hcq', 'ivermectin', 'hydroxychloroquine', 'zinc', 'covid', 'drug', 'patients', 'fda', 'chloroquine', 'doctors']","[""what do you bet china put ivermectin or hcq in the water supply someone should test it that would say a lot if it's there"", 'million doses of ivermectin and hcq', ""yes i make my own hcq too i use 'ivermectin' also i love using the natural stuff""]"
91,90,1768,90_clown_clowns_circle_circus,"['clown', 'clowns', 'circle', 'circus', 'apple', 'phone', 'black', 'face', 'golf', 'phones']","['clown in clown world', 'clown show', 'who the f is this clown']"
92,91,1764,91_kamala_harris_jill_kamalas,"['kamala', 'harris', 'jill', 'kamalas', 'willie', 'kamal', 'brown', 'kamaltoe', 'biden', 'joe']","['why do you want kamala to take over', ""not if you're kamala d"", ""then we'd get kamala no no no""]"
93,92,1722,92_hobbs_kari_lake_katie,"['hobbs', 'kari', 'lake', 'katie', 'arizona', 'az', 'governor', 'election', 'lakes', 'win']","['hobbs controlled how to steal her election kari lake will get to the bottom of stealing elections', 'hobbs will not be governor when kari lake wins', ""so katie hobbs's own sister voted for kari lake well that says a lot about katie hobbs""]"
94,93,1671,93_vax_vaxxed_vaxx_fauci,"['vax', 'vaxxed', 'vaxx', 'fauci', 'vaxed', 'unvaxxed', 'vaxxes', 'vaxxx', 'vaxxers', 'vaccine']","['live by the vax die by the vax', 'vax them vax them real good its only a matter of time', 'did she get the vax']"
95,94,1646,94_blm_charlottesville_black_group,"['blm', 'charlottesville', 'black', 'group', 'white', 'terrorist', 'organization', 'burn', 'loot', 'antifa']","['you support blm', 'blm really do they', 'so where is blm on this']"
