post_idx,target,stance,stance_type,explanation
1452368501,Nancy Pelosi,AGAINST,EXPLICIT,"The comment lists Nancy Pelosi among several individuals the commenter seems to be against, suggesting a negative stance towards her."
1452368501,Barack Obama,AGAINST,EXPLICIT,"The comment mentions Barack Obama in a list of individuals the commenter seems to be against, suggesting a negative stance towards him."
1478185050,Immigration / immigrants,AGAINST,EXPLICIT,The comment states 'SEND THEM HOME!!!' which indicates a clear opposition to the presence of immigrants.
1478185050,Sport,FAVOR,EXPLICIT,"The comment mentions 'soccer balls' which is a sport-related item, indicating a positive stance towards sports."
1478185050,Food,FAVOR,EXPLICIT,"The comment mentions 'hot meals' which is a type of food, indicating a positive stance towards providing food."
2423543776,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions 'Socialist/ Communist Dems agenda', indicating a negative stance towards Socialism/Communism."
2423543776,Black people,AGAINST,EXPLICIT,"The comment mentions 'BLM', which is an organization that advocates for Black people's rights, in a negative context, indicating a negative stance towards Black people."
2423543776,White people,FAVOR,EXPLICIT,"The comment mentions 'white Americans' in a context that implies the commenter is concerned about their safety and well-being, indicating a positive stance towards White people."
2423543776,Democrats,AGAINST,EXPLICIT,"The comment mentions 'Socialist/ Communist Dems agenda', indicating a negative stance towards Democrats."
2465873254,Elites,AGAINST,EXPLICIT,"The comment states 'Every other candidate has been bought by big business and Wall Street, including Cruz', implying that the elites, in this case, big business and Wall Street, have a negative influence."
2465873254,Immigration / immigrants,AGAINST,EXPLICIT,"The comment discusses 'illegals' and praises Trump for addressing the issue, implying a negative stance towards immigration/immigrants, particularly those entering illegally."
2465873254,Politicians,AGAINST,EXPLICIT,"The comment implies that most politicians, except Trump, are 'for sale' to big business and Wall Street, indicating a negative stance towards politicians in general."
2465873254,Donald Trump,FAVOR,EXPLICIT,"The comment states 'Trump is the only one who has the guts to call it like it is. What's more, he's not for sale', indicating a positive stance towards Trump."
2480311184,Fox News,AGAINST,EXPLICIT,"The commenter states 'But Fox is done', indicating a negative stance towards Fox News."
2480311184,Sheppard,AGAINST,EXPLICIT,"The commenter states 'I figured out a long time ago that Sheppard is despicable', indicating a negative stance towards Sheppard."
2480311184,Hannity,FAVOR,EXPLICIT,"The commenter states 'except Hannity', implying a positive stance towards Hannity."
2492682831,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment implies a negative stance towards mainstream media by referencing the Third Reich and questioning freedom of speech, suggesting that the media is not independent."
2492682831,Journalists and the press,AGAINST,EXPLICIT,"The comment questions the freedom of speech in Germany, implying that journalists and the press are not independent, as evidenced by the phrase 'what happened to the freedom of speech????'."
2492682831,Fascism / Nazism,AGAINST,EXPLICIT,"The comment mentions 'the Third Reich', implying a negative stance towards fascism and nazism, as evidenced by the phrase 'I thought Germany isn't under the Third Reich anymore'."
2541115546,Fox News,AGAINST,EXPLICIT,The comment states 'Fox news is not fair and balanced' which indicates a negative stance towards Fox News.
2550134574,Elites,AGAINST,EXPLICIT,"The commenter mentions 'GOPe hacks' and 'evildoers', which implies a negative stance towards elites."
2550134574,Politicians,AGAINST,EXPLICIT,"The commenter mentions 'Who the heck Romney thinks he is to tell the voters who to vote', which implies a negative stance towards politicians."
2550134574,Republicans (GOP),AGAINST,EXPLICIT,"The commenter mentions 'GOPe hacks', which implies a negative stance towards the Republican party."
2574685977,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment mentions 'left wing propaganda from network television', indicating a negative stance towards mainstream/liberal media."
2574685977,Black Lives Matter (BLM),AGAINST,EXPLICIT,"The comment mentions 'community BLM activists' as a source of 'left wing propaganda', indicating a negative stance towards BLM."
2602531608,Elites,AGAINST,EXPLICIT,"The commenter mentions 'GOPe politicians' and 'GOPe candidates', implying a negative stance towards the elite group of politicians."
2602531608,Politicians,AGAINST,EXPLICIT,"The commenter mentions 'GOPe politicians' and 'turncoats', implying a negative stance towards some politicians."
2602531608,Republicans (GOP),AGAINST,EXPLICIT,"The commenter mentions 'GOPe politicians' and 'GOPe candidates', implying a negative stance towards the Republican establishment."
2602531608,Donald Trump,FAVOR,EXPLICIT,"The commenter mentions 'anti-Trump', implying that they are against those who are against Trump, thus implying a positive stance towards Trump."
2639119548,Ted Cruz,AGAINST,EXPLICIT,The comment states 'To the evangelical voters...please open your eyes and see that Cruz is a phony. No one should ever trust anyone who uses religion or faith for personal gain.' This indicates a clear negative stance towards Ted Cruz.
2659301602,Donald Trump,AGAINST,EXPLICIT,"The comment mentions 'Kasich and the Bushes not endorsing Donald Trump isn't surprising', which implies a negative view of Trump."
2683228781,Hillary Clinton,AGAINST,EXPLICIT,"The commenter calls Hillary Clinton a 'worthless woman' and criticizes her energy policies and trade deals, indicating a negative stance towards her."
2683228781,Politicians,AGAINST,EXPLICIT,"The commenter calls Hillary Clinton a 'worthless woman', which implies a negative stance towards politicians in general."
2683228781,Democrats,AGAINST,EXPLICIT,"The commenter criticizes Hillary Clinton and mentions that voters will still vote for her despite her 'bad energy policies and unfair trade deals', which implies a negative stance towards Democrats in general."
2713628812,Politicians,AGAINST,EXPLICIT,"The comment refers to Ryan as 'a useful idiot', indicating a negative stance towards politicians."
2713628812,Donald Trump,AGAINST,EXPLICIT,"The comment mentions 'never Trump', indicating a negative stance towards Donald Trump."
2745775857,Elites,AGAINST,EXPLICIT,"The commenter mentions 'GOPe', which can be inferred as a reference to the elite or establishment wing of the Republican party, and expresses a negative sentiment towards it."
2745775857,Politicians,AGAINST,EXPLICIT,"The commenter calls the subject a 'traitor' and a 'useful idiot', indicating a negative sentiment towards them."
2745775857,Republicans (GOP),AGAINST,EXPLICIT,"The commenter mentions 'GOPe', which can be inferred as a reference to the elite or establishment wing of the Republican party, and expresses a negative sentiment towards it."
2787419518,Barack Obama,AGAINST,EXPLICIT,"The comment mentions 'the Dems have really jacked up the state' and 'Dems are corrupt and incompetent', which implies a negative stance towards the Democratic party and its members, including Barack Obama."
2787419518,Democrats,AGAINST,EXPLICIT,"The comment states 'the Dems have really jacked up the state' and 'Dems are corrupt and incompetent', which clearly indicates a negative stance towards the Democrats."
2801742475,Muslims,FAVOR,EXPLICIT,"The comment implies sympathy for the Syrian refugee, stating 'He had to go back to a very dangerous country' and 'He didn't plan to injure others, truly!' which suggests the commenter is defending the refugee's actions and expressing a favorable stance towards Muslims in this context."
2801742475,Immigration / immigrants,FAVOR,EXPLICIT,"The comment expresses sympathy for the Syrian refugee, stating 'He had to go back to a very dangerous country' which implies the commenter is in favor of more lenient immigration policies or amnesty for refugees."
2801742475,Terrorism,AGAINST,EXPLICIT,The comment states 'No terrorist attack here....' which directly expresses a stance against terrorism.
2826025211,Elites,AGAINST,EXPLICIT,"The comment mentions 'billionaire donor class' which implies a negative stance towards elites, as it suggests they have undue influence."
2826025211,Politicians,AGAINST,EXPLICIT,"The comment calls the politician 'a political hack', which is a negative term implying corruption or being controlled by external influences."
2826025211,Republicans (GOP),AGAINST,EXPLICIT,"The comment criticizes a GOP senator, implying a negative stance towards the party or its representatives."
2854091777,Hillary Clinton,AGAINST,EXPLICIT,"The comment implies that the Clinton Foundation is a 'lucrative enterprise', which suggests a negative view of Hillary Clinton's involvement with it."
2883901393,Elites,AGAINST,EXPLICIT,"The comment mentions 'The Hollywood commies', implying a negative stance towards elites, specifically those in Hollywood."
2883901393,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment mentions 'The Hollywood commies', implying a negative stance towards mainstream or liberal media, specifically those in Hollywood."
2883901393,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions 'The Hollywood commies', implying a negative stance towards communism or socialism."
2883901393,Republicans (GOP),FAVOR,IMPLICIT,"The comment expresses support for Donald Trump, implying a favorable stance towards Republicans."
2883901393,Donald Trump,FAVOR,EXPLICIT,"The comment states 'They're soooo afraid of Donald Trump!', implying a positive stance towards Donald Trump."
2883901393,Democrats,AGAINST,IMPLICIT,"The comment expresses support for Donald Trump and mentions 'The Hollywood commies', implying a negative stance towards Democrats."
2903700452,Hillary Clinton,AGAINST,EXPLICIT,"The comment mentions 'If You Don’t Vote For Hillary' in a negative context, implying the commenter is against Hillary Clinton."
2903700452,Barack Obama,AGAINST,EXPLICIT,"The comment describes Obama as 'This arrogant jerk', mentions 'His lack of any meaningful achievement', and states 'There is nothing good about Obama!', which clearly indicates a negative stance towards Obama."
2918636679,Elites,AGAINST,EXPLICIT,"The comment mentions 'our corrupt government, led by corrupt politicians and their cronies', implying that the elites are corrupt and working against Americans."
2918636679,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'letting all the illegal invaders into our country', indicating a strong opposition to immigration."
2918636679,Politicians,AGAINST,EXPLICIT,"The comment mentions 'corrupt politicians' and 'their cronies', indicating a negative view of politicians."
2937305580,Socialism / Communism,AGAINST,EXPLICIT,"The comment states 'their socialist politics caused the ratings drop', indicating a negative stance towards socialism."
2947188768,Hillary Clinton,AGAINST,EXPLICIT,"The comment mentions 'Per Hillary, come one, come all!!' which implies that the commenter disagrees with Hillary Clinton's stance on immigration."
2947188768,Islam,AGAINST,EXPLICIT,"The comment mentions 'Muslim ME, Muslim Africans' in a list of groups that include 'criminal murderers and rapists', which implies a negative view of Islam."
2947188768,CrimeMuslims,AGAINST,EXPLICIT,"The comment mentions 'criminal murderers and rapists' which includes 'Muslims', implying a negative view of Muslims in relation to crime."
2947188768,Immigration / immigrants,AGAINST,EXPLICIT,"The comment mentions 'Now we have Mexican, Central American, Muslim ME, Muslim Africans, Laotians, criminal murderers and rapists added to our own murders and rapists' which implies a negative view of immigration."
2947188768,Politicians,AGAINST,EXPLICIT,"The comment mentions 'Per Hillary, come one, come all!!' which implies a negative view of politicians, specifically Hillary Clinton."
2947188768,Diversity (DEI),AGAINST,IMPLICIT,"The comment lists various groups of people, including 'Mexican, Central American, Muslim ME, Muslim Africans, Laotians', in a negative context, implying a negative view of diversity."
2947188768,Democrats,AGAINST,IMPLICIT,"The comment mentions 'Per Hillary, come one, come all!!' which implies a negative view of Democrats, as Hillary Clinton is a Democrat."
2982915866,Fox News,AGAINST,EXPLICIT,"The commenter calls the Murdoch brothers 'fools' for giving Kelly a high salary, implying a negative opinion of Fox News' decision-making."
2982915866,Donald Trump,AGAINST,EXPLICIT,"The commenter mentions 'Trump bashing', implying a negative opinion of Trump or at least a negative opinion of excessive criticism towards Trump."
2996563993,Taxes are fair,AGAINST,EXPLICIT,The comment mentions 'hefty taxes' implying that the commenter does not think taxes are fair.
2996563993,Donald Trump,AGAINST,EXPLICIT,"The comment questions how companies will bring their products into the US without paying 'hefty taxes under a President Trump administration', implying skepticism or criticism of Trump's policies."
3005124660,Islam,AGAINST,IMPLICIT,"The comment 'Of all places to visit, why Dubai?' implies a negative perception of Dubai, which is a Muslim-majority country, suggesting an implicit negative stance towards Islam."
3005124660,Muslims,AGAINST,IMPLICIT,"The comment 'Of all places to visit, why Dubai?' implies a negative perception of Dubai, which has a significant Muslim population, suggesting an implicit negative stance towards Muslims."
3028986779,Immigration / immigrants,AGAINST,EXPLICIT,"The comment 'When they all become voters, they'll own Sweden!' implies that the commenter is against immigration, suggesting that immigrants will have too much power in Sweden."
3055841913,Islam,AGAINST,EXPLICIT,"The comment implies that the Obama administration's actions, potentially influenced by Muslim appointees, put the country's security at risk, suggesting a negative stance towards Islam."
3055841913,Muslims,AGAINST,EXPLICIT,"The comment mentions 'many Muslim appointees' in a context that implies their presence in government agencies is a risk to the country's security, indicating a negative stance towards Muslims."
3055841913,Barack Obama,AGAINST,EXPLICIT,"The comment explicitly states 'We can't get rid of Obama soon enough,' indicating a clear negative stance towards Barack Obama."
3083870287,Barack Obama,AGAINST,EXPLICIT,"The comment 'Michelle, too' implies a negative stance towards Barack Obama, as it is posted under an article with a title that implies Obama is 'Bitter' and has a 'Let's Wreck the Place' attitude."
3104339300,Science / Scientists,FAVOR,EXPLICIT,"The comment mentions 'Science research has produced many kinds DNA testing, including viral, bacterial, cancer cell testing', which shows a positive stance towards science."
3119799462,Elites,AGAINST,EXPLICIT,"The comment mentions 'decades of corruption and incompetence of our leaders', implying that the commenter is against the elites."
3119799462,Politicians,AGAINST,EXPLICIT,"The comment mentions 'decades of corruption and incompetence of our leaders', implying that the commenter is against politicians."
3119799462,Donald Trump,FAVOR,EXPLICIT,"The comment mentions 'President Trump is trying to undo decades of corruption and incompetence of our leaders', implying that the commenter is in favor of Donald Trump."
3132440892,Elites,AGAINST,EXPLICIT,"The comment mentions 'their masters, the Hollywood commie bosses' which implies a negative view of elites."
3132440892,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment implies that celebrities are controlled by 'their masters, the Hollywood commie bosses', suggesting a negative view of mainstream media."
3132440892,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions 'Hollywood commie bosses', which implies a negative view of communism."
3132440892,Movies,AGAINST,EXPLICIT,"The comment states 'Hollywood is dying', which implies a negative view of the movie industry."
3149995561,Politicians,AGAINST,EXPLICIT,"The comment states 'Merkel is the biggest sucker', which implies a negative opinion towards politicians, specifically Merkel."
3210698257,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment mentions 'Repeal Obamacare', indicating the commenter is against the current healthcare system."
3210698257,Politicians,AGAINST,EXPLICIT,"The comment mentions 'Ryan should get out of the way', indicating the commenter is against the politician."
3247281903,Elites,AGAINST,EXPLICIT,"The comment states 'Consumers are tired of CEOs who inject politics and SJ into business. They need to shut up.', implying that the commenter is against the elites (CEOs) who impose their views on others."
3247281903,Woke,AGAINST,EXPLICIT,"The comment mentions 'SJ' (social justice), which is often associated with the term 'woke'. The commenter states 'Consumers are tired of CEOs who inject politics and SJ into business.', implying that they are against the 'woke' ideology."
3247281903,Gay / LGTBQ+,AGAINST,EXPLICIT,"The comment discusses the 'transgender bathroom issue', and the commenter seems to disapprove of the CEO's stance on the issue, implying that they are against LGBTQ+ rights."
3247281903,Diversity (DEI),AGAINST,EXPLICIT,"The comment mentions 'SJ' (social justice), which is often associated with diversity and inclusion initiatives. The commenter states 'Consumers are tired of CEOs who inject politics and SJ into business.', implying that they are against diversity and inclusion efforts."
3282502461,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'It's no surprise these ""illegal immigrant avtivists"" conflate illegal aliens with legal immigrants.' and 'America has been screwed so badly and for so long!' which indicates a negative stance towards immigration/immigrants."
3342831243,Immigration / immigrants,AGAINST,EXPLICIT,"The comment mentions 'Reinhardt and all the left wing political judges disrespect our Constitution and the rule of law' in the context of immigration laws, indicating a negative stance towards the judges' handling of immigration."
3342831243,Politicians,AGAINST,EXPLICIT,"The comment mentions 'Reinhardt and all the left wing political judges disrespect our Constitution and the rule of law', indicating a negative stance towards the judges, who are considered politicians in this context."
3342831243,The police (cops),FAVOR,EXPLICIT,"The comment mentions 'DHS Officers' enforcing immigration laws, indicating a positive stance towards law enforcement."
3342831243,Democrats,AGAINST,EXPLICIT,"The comment mentions 'left wing political judges', which is often associated with the Democratic party, indicating a negative stance towards Democrats."
3369578601,Elizabeth Warren,AGAINST,EXPLICIT,"The comment states 'I beg to differ, we have all seen nasty, it's called ELIZABETH WARREN', which indicates a negative stance towards Elizabeth Warren."
3450893576,Elites,AGAINST,EXPLICIT,"The commenter refers to 'swamp creatures' and 'GOPe people', indicating a negative stance towards elites."
3450893576,Republicans (GOP),AGAINST,EXPLICIT,"The commenter refers to 'GOPe people', indicating a negative stance towards the GOP establishment."
3450893576,Donald Trump,FAVOR,EXPLICIT,"The commenter expresses support for Trump, stating 'Pres.Trump is an outsider and it's understandable that he could make errors in judgement when dealing with swamp creatures. But he is a quick understudy. God willing, the coup attempt will be unsuccessful  and he will come out much stronger.'"
3496997844,Taxes are fair,AGAINST,EXPLICIT,"The comment mentions 'taxpayer money', implying that the commenter is against the use of taxes to fund projects like Tesla."
3496997844,Government spending,AGAINST,EXPLICIT,"The comment mentions 'taxpayer money', implying that the commenter is against government spending on projects like Tesla."
3496997844,Elon Musk,AGAINST,EXPLICIT,"The comment calls Elon Musk a 'parasitic maggot', indicating a strongly negative stance towards him."
3496997844,Tesla,AGAINST,EXPLICIT,"The comment states that 'Tesla would never have made it without John Q. Public's hard earned money', implying that the commenter is against the use of taxpayer money to fund Tesla."
3534170723,Sport,FAVOR,EXPLICIT,"The comment mentions 'NFL is about paid entertainment', indicating a positive view of sports."
3534170723,Donald Trump,AGAINST,IMPLICIT,"The comment does not directly mention Trump, but the title 'Terry Bradshaw: Not Sure Trump Understands ‘Every American Has the Right to Speak Out’ and Protest' implies a negative view of Trump's understanding of American rights, and the commenter agrees with the idea that politics should not be injected into sports, which can be seen as a criticism of Trump's involvement in sports-related political issues."
3558116378,Immigration / immigrants,AGAINST,EXPLICIT,"The comment suggests that ICE should start raiding homes and businesses to target 'illegal aliens', indicating a negative stance towards immigration/immigrants."
3582392667,Elites,AGAINST,EXPLICIT,"The comment mentions 'Globalists like Soros want to bring the US on it's knees', implying an anti-elitist stance."
3582392667,Socialism / Communism,AGAINST,EXPLICIT,"The comment states 'Everything communists would want to destroy', showing a clear anti-communist stance."
3582392667,Christians,FAVOR,EXPLICIT,"The comment mentions 'christian faith' as something that 'America is the lone nation who retains', implying a pro-Christian stance."
3582392667,Gay / LGTBQ+,AGAINST,EXPLICIT,"The comment states 'Gender identity was created by the left to destroy American institutions', implying an anti-LGBTQ+ stance."
3582392667,Democrats,AGAINST,EXPLICIT,"The comment mentions 'the left' in a negative context, implying an anti-Democratic stance."
3603516675,Immigration / immigrants,AGAINST,EXPLICIT,The comment states 'Deport them all!' which indicates a clear stance against immigrants.
3603516675,Healthcare / Medicare,AGAINST,EXPLICIT,The comment states 'Stop the free health care to illegals' which indicates a stance against providing healthcare to certain groups.
3681572504,Elites,AGAINST,EXPLICIT,"The comment mentions 'virtue signaling' in relation to the 'CoE' (Church of England), implying that the commenter is against the elites or the establishment."
3681572504,Christians,AGAINST,EXPLICIT,"The comment mentions 'Open all the gates to Buckingham palace' and 'the virtue signaling CoE', implying that the commenter is against the Church of England, which is a Christian institution."
3690591739,Donald Trump,AGAINST,EXPLICIT,"The comment implies skepticism towards a statement about Donald Trump, saying 'That sounds rubbish.' This indicates a negative stance towards Trump's thoughts or actions."
3721491638,Nancy Pelosi,AGAINST,EXPLICIT,"The comment 'Is anyone listening to her??' implies skepticism or dismissal of Nancy Pelosi's statement, indicating an 'AGAINST' stance."
3762493146,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions 'Dictators such as Hitler, Josef Stalin, Benito Mussolini, Mao Tse Tung, Fidel Castro, Idi Amin, Ferdinand Marcos' who are associated with socialist or communist ideologies, implying a negative stance towards these ideologies."
3762493146,Politicians,AGAINST,EXPLICIT,"The comment states 'All Democraps won't be disarming themselves. They are only determined in disarming the American citizens so they can oppress and suppress the masses', implying a negative stance towards politicians, specifically Democrats."
3762493146,Fascism / Nazism,AGAINST,EXPLICIT,"The comment mentions 'Dictators such as Hitler', implying a negative stance towards fascism and Nazism."
3762493146,Democrats,AGAINST,EXPLICIT,"The comment states 'All Democraps won't be disarming themselves. They are only determined in disarming the American citizens so they can oppress and suppress the masses', implying a strongly negative stance towards Democrats."
3791638252,Social media,AGAINST,EXPLICIT,"The comment states 'POTUS administration or Congress should have Twitter investigated for free speech violations.' This indicates that the commenter is against social media companies, specifically Twitter, for allegedly violating free speech."
3791638252,Republicans (GOP),FAVOR,IMPLICIT,"The comment mentions 'POTUS administration', which refers to the administration of the President of the United States, currently Donald Trump, a Republican. This implies that the commenter is in favor of the Republican administration."
3791638252,Donald Trump,FAVOR,IMPLICIT,"The comment mentions 'POTUS administration', which refers to the administration of Donald Trump, implying that the commenter is in favor of Trump's administration."
3832517624,Government spending,AGAINST,EXPLICIT,"The comment mentions 'taxpayer subsidies' which implies that the commenter is against government spending, specifically in the context of supporting companies like Tesla."
3832517624,Elon Musk,AGAINST,EXPLICIT,"The comment calls Elon Musk a 'con artist', indicating a clear negative stance towards him."
3845531409,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment implies a negative stance towards the mainstream media by suggesting to 'Call the show's sponsors', which could be seen as a form of boycott or protest against the show and its network."
3845531409,Journalists and the press,AGAINST,EXPLICIT,"Similar to the previous target, the comment's suggestion to 'Call the show's sponsors' could be seen as a negative stance towards journalists and the press, implying dissatisfaction with their work."
3884048511,Hillary Clinton,AGAINST,EXPLICIT,"The comment mentions 'Just like Hillary', implying a negative comparison between Hillary and Michelle."
3884048511,Barack Obama,AGAINST,EXPLICIT,"The comment mentions 'it seems Michelle is not getting attention from Barack', implying a negative statement about Barack's behavior towards Michelle."
3884048511,Michelle Obama,AGAINST,EXPLICIT,"The comment says 'Dream on, Michelle!', which is a dismissive and negative statement towards Michelle's declaration of being the 'forever first lady'."
3924110399,Chelsea,AGAINST,EXPLICIT,"The comment states 'A great example is Chelsea', implying a negative tone towards Chelsea, as the phrase 'The fruit doesn't fall far from the tree' is often used to suggest that a child has inherited negative traits from their parent."
3952883141,Elites,AGAINST,EXPLICIT,"The commenter refers to the senators as 'lawless, bought and paid for', implying a negative stance towards elites."
3952883141,Immigration / immigrants,AGAINST,EXPLICIT,"The commenter is against the senators' demand to end border enforcement, implying a negative stance towards immigration/immigrants."
3952883141,Politicians,AGAINST,EXPLICIT,"The commenter refers to the senators as 'lawless, bought and paid for', implying a negative stance towards politicians."
3952883141,Republicans (GOP),AGAINST,EXPLICIT,"The commenter refers to the senators as 'GOPe turncoats', implying a negative stance towards the Republican party."
3952883141,Donald Trump,FAVOR,EXPLICIT,"The commenter is against the senators' demand to end border enforcement, which is a policy supported by Trump, implying a positive stance towards Trump."
3975388305,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment states 'BB should not dignify lying Dan with an article', implying a negative stance towards the media outlet publishing Dan Rather's article."
3975388305,Journalists and the press,AGAINST,EXPLICIT,"The comment refers to Dan Rather as 'lying Dan', indicating a negative stance towards him as a journalist."
4006814990,Republicans (GOP),FAVOR,IMPLICIT,"The comment mentions 'Jordan could be a better speaker', implying support for a Republican figure."
4036979838,Donald Trump,AGAINST,EXPLICIT,"The comment calls Donald Trump the 'former liar-in-chief', which indicates a negative stance towards him."
4036979838,Barack Obama,FAVOR,IMPLICIT,"The comment implies a positive stance towards Barack Obama by referring to Donald Trump as the 'former liar-in-chief', which suggests that the commenter has a more favorable view of Obama."
4071478882,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment states 'More fake polls that's been reported as fake news!', implying that the commenter is against the mainstream media for reporting 'fake news'."
4071478882,Journalists and the press,AGAINST,EXPLICIT,"The comment states 'More fake polls that's been reported as fake news!', implying that the commenter is against journalists and the press for reporting 'fake news'."
4071478882,Donald Trump,FAVOR,IMPLICIT,"The comment is responding to a poll about President Trump, and the tone suggests that the commenter is in favor of Trump, as they are dismissing the polls as 'fake news'."
4092611503,Elites,AGAINST,EXPLICIT,"The comment mentions 'the left, the greedy Koch brothers & GOPe' which implies the commenter is against the elites."
4092611503,Immigration / immigrants,AGAINST,EXPLICIT,"The comment mentions 'More DACA (dreamers) that the left, the greedy Koch brothers & GOPe want to give amnesty' which implies the commenter is against immigration/immigrants."
4092611503,Republicans (GOP),AGAINST,EXPLICIT,The comment mentions 'the greedy Koch brothers & GOPe' which implies the commenter is against the Republicans (GOP).
4092611503,Democrats,AGAINST,EXPLICIT,The comment mentions 'the left' which implies the commenter is against the Democrats.
4119400723,Kamala Harris,AGAINST,EXPLICIT,The comment 'Wow! She's that bad?' implies a negative opinion of Kamala Harris.
4138528515,China,FAVOR,EXPLICIT,"The comment states 'The trade agreement assures the 3 nations more leverage to negotiate with China to reverse the trade imbalance', indicating a positive stance towards the trade agreement's impact on China."
4138528515,Canada,AGAINST,EXPLICIT,"The comment states 'How many decades did Canada ride on the backs of the working class Americans when they operated under Nafta?', indicating a negative stance towards Canada's actions under NAFTA. Additionally, the comment says 'Your Canadian friends can go to Hades!', further emphasizing the negative stance."
4176830197,Elites,AGAINST,IMPLICIT,"The term 'left wing crowd' and 'indoctrinated millennials' implies a negative stance towards elites, as it suggests they are out of touch with the rest of the population."
4176830197,Mainstream / liberal media,AGAINST,IMPLICIT,"The term 'left wing crowd' implies a negative stance towards mainstream or liberal media, suggesting they are biased."
4176830197,Woke,AGAINST,IMPLICIT,"The term 'indoctrinated millennials' implies a negative stance towards the 'woke' culture, suggesting it is overly influential or misguided."
4176830197,Democrats,AGAINST,IMPLICIT,"The term 'left wing crowd' implies a negative stance towards Democrats, suggesting they are overly influential or misguided."
4431773691,Socialism / Communism,AGAINST,EXPLICIT,"The comment states 'the danger of socialism' and 'greed overcame common sense' when referring to Venezuela's situation, indicating a clear opposition to socialism."
4431773691,Social welfare,AGAINST,EXPLICIT,"The comment mentions 'cradle to grave entitlements' as something that 'will eventually bankrupt our nation', indicating opposition to social welfare."
4431773691,Democrats,AGAINST,EXPLICIT,"The comment mentions 'Many of the Dems running for president in 2020 will be promising cradle to grave entitlements which will eventually bankrupt our nation', indicating opposition to Democrats."
4452531832,Fascism / Nazism,AGAINST,EXPLICIT,"The comment refers to ""these nasty, little fascists"", indicating a negative stance towards fascism."
4473466301,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment mentions 'despicable hosts' and 'ESPN shows', implying a negative view of mainstream media."
